HomeTeam,AwayTeam
Atletico-MG,Ceara
Vitoria,Corinthians
Fluminense,Internacional
Sport Recife,Mirassol
Fortaleza,Flamengo RJ
Sao Paulo,Bahia
Botafogo RJ,Santos
Gremio,Juventude
Bragantino,Vasco
Palmeiras,Cruzeiro
Fluminense,Ceara
Cruzeiro,Vitoria
Santos,Fortaleza
Mirassol,Botafogo RJ
Flamengo RJ,Sport Recife
Bahia,Bragantino
Ceara,Fluminense
Corinthians,Gremio
Internacional,Atletico-MG
Juventude,Palmeiras
Vasco,Sao Paulo
Bragantino,Corinthians
Sport Recife,Juventude
Vitoria,Internacional
Botafogo RJ,Vasco
Atletico-MG,Bahia
Gremio,Cruzeiro
Sao Paulo,Flamengo RJ
Fluminense,Mirassol
Ceara,Fortaleza
Palmeiras,Santos
Sport Recife,Atletico-MG
Vasco,Juventude
Internacional,Bahia
Sao Paulo,Bragantino
Corinthians,Ceara
Cruzeiro,Fluminense
Vitoria,Botafogo RJ
Flamengo RJ,Santos
Fortaleza,Gremio
Mirassol,Palmeiras
Sport Recife,Flamengo RJ
Santos,Palmeiras
Atletico-MG,Palmeiras
Bahia,Fortaleza
Botafogo RJ,Sport Recife
Bragantino,Vitoria
Ceara,Internacional
Corinthians,Sao Paulo
Fluminense,Flamengo RJ
Gremio,Vasco
Juventude,Cruzeiro
Santos,Mirassol
Bahia,Vasco
Botafogo RJ,Gremio
Cruzeiro,Corinthians
Flamengo RJ,Bragantino
Fortaleza,Atletico-MG
Internacional,Santos
Mirassol,Ceara
Palmeiras,Fluminense
Sao Paulo,Juventude
Sport Recife,Vitoria
Atletico-MG,Flamengo RJ
Bragantino,Fortaleza
Ceara,Cruzeiro
Corinthians,Botafogo RJ
Fluminense,Sao Paulo
Gremio,Palmeiras
Juventude,Bahia
Santos,Sport Recife
Vasco,Internacional
Vitoria,Mirassol
Bahia,Sport Recife
Bragantino,Atletico-MG
Cruzeiro,Botafogo RJ
Flamengo RJ,Ceara
Fortaleza,Corinthians
Gremio,Fluminense
Juventude,Santos
Palmeiras,Vitoria
Sao Paulo,Internacional
Vasco,Mirassol
Atletico-MG,Vasco
Botafogo RJ,Fortaleza
Ceara,Palmeiras
Corinthians,Juventude
Fluminense,Bahia
Internacional,Bragantino
Mirassol,Flamengo RJ
Santos,Cruzeiro
Sport Recife,Gremio
Vitoria,Sao Paulo
